CLIENT_IP,CLIENT_CITY,CLIENT_REGION,CLIENT_COUNTRY,ISP,CLIENT_LATITUDE,CLIENT_LONGITUDE,TEST_DATE,SERVER_NAME,DOWNLOAD_KBPS,UPLOAD_KBPS,LATENCY,CLIENT_BROWSER,CLIENT_OPERATING_SYSTEM,USER_AGENT
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:35:19 GMT",Turin,16056,853,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.32.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:35:45 GMT",Turin,6372,380,19,"Chrome 47.0.2526.106","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
5.198.*.*,Cuneo,12,Italy,"ISI LINE S.r.l.",44.3833,7.5333,"1/1/2016 16:35:53 GMT",Turin,1337,317,58,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:36:47 GMT",Turin,17191,879,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
79.50.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:37:04 GMT",Turin,6764,321,41,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
79.17.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:37:19 GMT",Turin,9927,1023,34,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
93.39.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:37:21 GMT",Turin,67352,9546,9,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:37:35 GMT",Turin,16841,851,20,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
93.32.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:37:39 GMT",Turin,3626,615,38,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
82.56.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:38:10 GMT",Turin,6897,388,43,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:38:19 GMT",Turin,17275,841,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:39:01 GMT",Turin,16386,838,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:39:43 GMT",Turin,16297,872,20,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
213.254.*.*,Andezeno,12,Italy,"IT.Gate S.p.A.",45.0338,7.8661,"1/1/2016 16:39:48 GMT",Turin,11759,7883,9,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
94.100.*.*,"Borgo San Martino",12,Italy,"LAN SERVICE s.r.l.",45.0926,8.5237,"1/1/2016 16:39:51 GMT",Turin,6754,895,16,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
176.65.*.*,Turin,12,Italy,"Elsynet S.r.l.",45.0705,7.6868,"1/1/2016 16:40:06 GMT",Turin,4480,1124,31,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
213.254.*.*,Andezeno,12,Italy,"IT.Gate S.p.A.",45.0338,7.8661,"1/1/2016 16:40:13 GMT",Turin,6750,1852,16,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:40:30 GMT",Turin,16806,876,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
213.254.*.*,Andezeno,12,Italy,"IT.Gate S.p.A.",45.0338,7.8661,"1/1/2016 16:41:03 GMT",Turin,10478,1169,23,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:41:13 GMT",Turin,16852,789,20,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:41:57 GMT",Turin,16413,857,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
2.230.*.*,Vercelli,12,Italy,Fastweb,45.3126,8.4992,"1/1/2016 16:42:06 GMT",Turin,14184,10094,22,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
82.56.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:42:19 GMT",Turin,5014,746,32,"Chrome 45.0.2454.85","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
176.65.*.*,Turin,12,Italy,"Elsynet S.r.l.",45.0705,7.6868,"1/1/2016 16:42:59 GMT",Turin,4680,1298,34,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
176.65.*.*,Turin,12,Italy,"Elsynet S.r.l.",45.0705,7.6868,"1/1/2016 16:43:42 GMT",Turin,5041,1287,28,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:44:52 GMT",Turin,17179,853,20,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
